N;АХОВ;Плотность АХОВ в сжатом состоянии, т/м3;Плотность АХОВ в сжиженном состоянии, т/м3;Плотность АХОВ в ядовитом состоянии, т/м3;Температура кипения, 0С;Пороговаятоксидоза мг/мин;К1;К2;К3;К71-40;К71-20;К71;К71+20;К71+40;К72-40;К72-20;К72;К72+20;К72+40
1;Акролеин;NA;0,838;NA;52,7;0,2;0;0,013;3;0,1;0,2;0,4;1;2,2;0,1;0,2;0,4;1;2,2
2;Аммиак хранение под давлением;0,0008;0,681;NA;-33,42;15;0,18;0,025;0,04;0;0,3;1;1;1,4;0,9;1;1;1;1,4
3;Аммиак изотермическое хранение;NA;0,681;NA;-33,42;15;0,01;0,025;0,04;0;1;1;1;1;0,9;1;1;1;1
4;Аценонитрил;NA;0,786;NA;81,6;21,6;0;0,004;0,028;0,02;0,1;0,3;1;2,6;0,02;0,1;0,3;1;2,6
5;Ацетонциангидрин;NA;0,932;NA;120;1,9;0;0,002;0,316;0;0;0,3;1;1,5;0;0;0,3;1;1,5
6;Водород мышьяковский;0,0035;1,64;NA;-62,47;0,2;0,17;0,054;3;0,3;0,5;0,8;1;1,2;1;1;1;1;1
7;Водород фтористый;NA;0,989;NA;19,52;4;0;0,028;0,15;0,1;0,2;0,5;1;1;0,1;0,2;0,5;1;1
8;Водород хлористый;0,0016;1,191;NA;-85,1;2;0,28;0,037;0,3;0,4;0,6;0,8;1;1,2;1;1;1;1;1
9;Водород бромистый;0,0036;1,49;NA;-66,77;2,4;0,13;0,055;0,25;0,3;0,5;0,8;1;1,2;1;1;1;1;1
10;Водород цианистый;NA;0,687;NA;25,7;0,2;0;0,026;3;0;0;0,4;1;1,3;0;0;0,4;1;1,3
11;Диметиламин;0,002;0,68;NA;6,9;1,2;0,06;0,041;0,5;0;0;0;1;2,5;0,1;0,3;0,8;1;1
12;Метиламин;0,0014;0,699;NA;-6,5;1,2;0,13;0,034;0,5;0;0;0,3;1;1,8;0,3;0,7;1;1;1
13;Метил бромистый;NA;1,732;NA;3,6;1,2;0,04;0,039;0,5;0;0;0;1;2,3;0,2;0,4;0,9;1;1
14;Метил хлористый;0,0023;0,983;NA;-23,76;10,8;0,125;0,044;0,056;0;0,1;0,6;1;1,5;0,5;1;1;1;1
15;Метилакрилат;NA;0,953;NA;80,2;6;0;0,005;0,1;0,1;0,2;0,4;1;3,1;0,1;0,2;0,4;1;3,1
16;Метилмеркаптан;NA;0,867;NA;5,95;1,7;0,06;0,043;0,353;0;0;0;1;2,4;0,1;0,3;0,8;1;1
17;Нитрил акриловой кислоты;NA;0,806;NA;77,3;0,75b;0;0,007;0,8;0,04;0,1;0,4;1;2,4;0,04;0,1;0,4;1;2,4
18;Окислы азота;NA;1,491;NA;21;1,5;0;0,04;0,4;0;0;0,4;1;1;0;0;0,4;1;1
19;Окись этилена;NA;0,882;NA;10,7;2,2;0,05;0,041;0,27;0;0;0;1;3,2;0,1;0,3;0,7;1;1
20;Сернистый ангидрид;0,0029;1,462;NA;-10,1;1,8;0,11;0,049;0,333;0;0;0,3;1;1,7;0,2;0,5;1;1;1
21;Сероводород;0,0015;0,964;NA;-60,35;16,1;0,27;0,042;0,036;0,3;0,5;0,8;1;1,2;1;1;1;1;1
22;Сероуглерод;NA;1,263;NA;46,2;45;0;0,021;0,013;0,1;0,2;0,4;1;2,1;0,1;0,2;0,4;1;2,1
23;Соляная кислота;NA;1,198;NA;NA;2;0;0,021;0,3;0;0,1;0;1;1,6;0;0,1;0;1;1,6
24;Триметиламин;NA;0,671;NA;2,9;6;0,07;0,047;0,1;0;0;0;1;2,2;0,1;0,4;0,9;1;1
25;Формальдегид;NA;0,815;NA;-19;0,6;0,19;0,034;1;0;0;0;1;1,5;0,4;1;1;1;1
26;Фосген;0,0035;1,432;NA;8,2;0,6;0,05;0,061;1;0;0;0;1;2,7;0,1;0,3;0,7;1;1
27;Фтор;0,0017;1,512;NA;-188,2;0,2;0,95;0,038;3;0,7;0,8;0,9;1;1,1;1;1;1;1;1
28;Фосфор треххлористый;NA;1,57;NA;75,3;3;0;0,01;0,2;0,1;0,2;0,4;1;2,3;0,1;0,2;0,4;1;2,3
29;Фосфора хлоокись;NA;1,675;NA;107,2;0,06;0;0,003;10;0,05;0,1;0,3;1;2,6;0,05;0,1;0,3;1;2,6
30;Хлор;0,0032;1,553;NA;-34,1;0,6;0,18;0,052;1;0;0,3;0,6;1;1,4;0,9;1;1;1;1
31;Хлорпикрин;NA;1,658;NA;112,3;0,02;0;0,002;30;0,03;0,1;0,3;1;2,9;0,03;0,1;0,3;1;2,9
32;Хлорциан;0,0021;1,22;NA;12,6;0,75;0,04;0,048;0,8;0;0;0;1;3,9;0;0;0,6;1;1
33;Этиленимин;NA;0,838;NA;55;4,8;0;0,009;0,125;0,05;0,1;0,4;1;2,2;0,05;0,1;0,4;1;2,2
34;Этиленсульфид;NA;1,005;NA;55;0,1;0;0,013;6;0,05;0,1;0,4;1;2,2;0,05;0,1;0,4;1;2,2
35;Этилмеркаптан;NA;0,839;NA;35;2,2;0;0,028;0,27;0,1;0,2;0,5;1;1,7;0,1;0,2;0,5;1;1,7
